YEAR BUILT,TOTAL WATER USE (kgal),PROPERTY TYPE,POSTAL CODE,OUTDOOR WATER USE (kgal),NUMBER OF BUILDINGS,INDOOR WATER USE (kgal),GROSS BUILDING FLOOR AREA (ft²)
,,,90059,,,,
,,,91311,,,,
1977.0,2043.7,Multifamily Housing,91306,Not Available,1.0,Not Available,36662.0
,,,90021,,,,
1990.0,6065.2,Hotel,90024,Not Available,1.0,6065.2,255980.0
,,,90012,,,,
,,,90010,,,,
1964.0,1315.8,Multifamily Housing,91304,Not Available,1.0,Not Available,21778.0
1971.0,0,Other,91405,Not Available,1.0,Not Available,25000.0
2006.0,4459.1,Multifamily Housing,90026,Not Available,1.0,Not Available,43600.0
,,,91401,,,,
1979.0,1851.4,Multifamily Housing,90041,Not Available,1.0,Not Available,22450.0
1991.0,Not Available,Multifamily Housing,90012,Not Available,1.0,Not Available,20459.0
1951.0,431.6,Distribution Center,90045,Not Available,1.0,Not Available,25920.0
1988.0,3719.3,Multifamily Housing,90042,Not Available,1.0,Not Available,82960.0
2000.0,4,Self-Storage Facility,90041,Not Available,1.0,4,27557.0
,,,91606,,,,
1953.0,699.4,Multifamily Housing,90049,Not Available,1.0,Not Available,25464.0
2010.0,21,Self-Storage Facility,90007,Not Available,1.0,21,66843.0
2013.0,Not Available,Retail Store,90048,Not Available,1.0,Not Available,99902.0
,,,90032,,,,
1971.0,1276.2,Multifamily Housing,91343,Not Available,1.0,Not Available,22239.0
1991.0,588.7,Multifamily Housing,91402,Not Available,1.0,Not Available,25581.0
,,,90002,,,,
,,,90020,,,,
,,,91342,,,,
,,,90046,,,,
1952.0,1935.2,Multifamily Housing,90027,Not Available,1.0,Not Available,21122.0
1960.0,1499.1,Multifamily Housing,90020,Not Available,1.0,Not Available,21004.0
,,,90015,,,,
2014.0,245.9,Multifamily Housing,90024,Not Available,1.0,Not Available,33658.0
2017.0,1119,Office,90021,Not Available,1.0,Not Available,257028.0
,,,90015,,,,
,,,90001,,,,
,,,91352,,,,
,,,90032,,,,
,,,90005,,,,
,,,90057,,,,
,,,90007,,,,
,,,90057,,,,
,,,90001,,,,
,,,90066,,,,
1983.0,873,Multifamily Housing,91401,Not Available,1.0,Not Available,29346.0
2011.0,1414.2,Energy/Power Station,90045,Not Available,1.0,Not Available,92090.0
2005.0,1186.4,Mixed Use Property,90025,Not Available,1.0,Not Available,47171.0
,,,91605,,,,
2010.0,1354.7,Multifamily Housing,91601,Not Available,1.0,Not Available,26736.0
1986.0,819.9,Multifamily Housing,90034,Not Available,1.0,Not Available,21060.0
,,,91602,,,,
,,,90064,,,,
1982.0,26852.5,Transportation Terminal/Station,90045,Not Available,1.0,Not Available,569300.0
1972.0,1861.2,Multifamily Housing,91324,Not Available,1.0,Not Available,29528.0
1963.0,592.5,Multifamily Housing,90048,Not Available,1.0,Not Available,20530.0
1975.0,1004.3,Office,90064,Not Available,1.0,Not Available,84850.0
,,,91605,,,,
1914.0,991.2,Mixed Use Property,90011,Not Available,1.0,Not Available,23400.0
